"Full_Path","File","Title","Description","Canonical","Broken_Links","Link_Status"
"C:\Users\navee\OneDrive\Documents\GitHub\ipa\404.html","404.html","404 - Page Not Found | Ideal Play Abacus India","","","","OK"
"C:\Users\navee\OneDrive\Documents\GitHub\ipa\googleb36ee120e2cd245d.html","googleb36ee120e2cd245d.html","","","","","OK"
